id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P05978,000851,평생교육법,21,읍ㆍ면ㆍ동 평생학습센터의 운영,② 제1항에 따른 읍·면·동 평생학습센터의 설치 또는 지정 및 운영에 관한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,춘천시 평생교육진흥 조례
P02679,009621,유아교육법,19,유치원회계의 운영,"⑥ 유치원회계의 운영에 필요한 사항은 국립유치원의 경우에는 교육부령으로, 공립유치원의 경우에는 시·도의 교육규칙으로 정한다.",교육규칙으로,위임자치법규,부령,자치법규,세종특별자치시 공립학교회계 규칙
P06768,013702,학교복합시설 설치 및 운영ㆍ관리에 관한 법률,7,학교복합시설 운영협의회,② 운영협의회의 구성ㆍ운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정할 수 있다.,조례로,위임자치법규,조례,자치법규,충청남도교육청 학교복합시설 설치 및 운영에 관한 조례
P00483,006562,교육감 소속 지방공무원 평정규칙,24,근무경력 가산점,2. 영 제32조제2항제5호에 따라 해당 지방자치단체의 교육규칙으로 정하는 재난 및 안전관리 업무에 근무한 경력,교육규칙으로,위임자치법규,조례,자치법규,대구광역시교육감 소속 지방공무원 인사 규칙
P01168,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,성남시 학교 밖 청소년 지원 조례
P02007,000191,영유아보육법,6,보육정책위원회,"① 보육에 관한 각종 정책ㆍ사업ㆍ보육지도 및 어린이집 평가에 관한 사항 등을 심의하기 위하여 교육부에 중앙보육정책위원회를, 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도(이하 “시ㆍ도”라 한다) 및 시ㆍ군ㆍ구(자치구를 말한다. 이하 같다)에 지방보육정책위원회를 둔다. 다만, 지방보육정책위원회는 그 기능을 담당하기에 적합한 다른 위원회가 있고 그 위원회의 위원이 제2항에 따른 자격을 갖춘 경우에는 시ㆍ도 또는 시ㆍ군ㆍ구의 조례로 정하는 바에 따라 그 위원회가 지방보육정책위원회의 기능을 대신할 수 있다.",조례로,위임자치법규,조례,자치법규,칠곡군 지역사회보장협의체 운영 조례
P01114,013984,대안교육기관에 관한 법률,20,지도ㆍ감독 등,"② 교육감 및 지방자치단체의 장이 제1항에 따른 지도ㆍ감독을 위하여 필요하면 조례로 정하는 바에 따라 해당 대안교육기관의 설립ㆍ운영자에게 제1항과 관련된 자료의 제출을 요구하거나 관계 공무원에게 해당 시설에 출입하여 그 시설ㆍ설비, 장부 등을 검사하게 할 수 있다.",조례로,위임자치법규,조례,자치법규,서울특별시 송파구 학교 밖 청소년 지원 조례
P06478,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,태백시 학교급식 지원조례
P00835,013614,교육시설 등의 안전 및 유지관리 등에 관한 법률,30,교육시설환경개선기금의 설치 등,④ 기금의 설치ㆍ운용에 관하여 필요한 사항은 조례로 정한다.,사항은 조례로,위임자치법규,조례,자치법규,충청북도교육청  교육시설환경개선기금 설치 및 운용 조례
P07331,005397,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,5,숙박시설을 갖춘 학교교과교습학원의 등록,"② 제1항에 따른 숙박시설의 위치, 환경기준, 시설·설비기준, 영양사 및 생활지도 담당인력 배치기준 등에 관한 사항은 지역적 여건과 학원의 규모 등을 고려하여 시·도 조례로 정한다.",시.도 조례로,위임자치법규,조례,자치법규,전라남도교육청 학원의 설립ㆍ운영 및 과외교습에 관한 조례
